Density,Detonation velocity,Explosion pressure,Explosion heat,Explosion capacity,Solid phase formation enthalpy,SMILES,composite_score_0_1,mmff_strain_score_0_1
1.46,4345,7.3,1778.2,612.2,-624.41,O=C3(C1(=C(OC(=CC1CN(=O)=O)C=2(C=CC=CC=2))N(C(N3C)=O)C)),0.439,0.964
1.83,8761,34.4,6976.5,636.6,1545.05,N(C=1(C(=NON=1)NN(O)C2(=NON=C2NN(=O)=O)))NC3(=NON=C3NN(C4(=NON=C4NN(=O)=O))O),0.0,0.693
1.77,7636,25.6,4959.9,653.0,312.28,N1(C=NC(=N1)C=2(NN=C(N)C=2N(=O)=O))(N(=O)=O),0.496,1.0
1.77,7639,25.6,4959.4,653.0,312.16,N1(N(=O)=O)(N=C(N=C1)C2(=C(C(=NN2)N)N(=O)=O)),0.496,1.0
1.71,7577,24.7,4869.4,704.8,391.17,N1(=C(N)N=C(N1N)C2(=NC(=C(N2N)N(=O)=O)N(=O)=O)),0.401,0.936
1.43,4504,7.7,2550.4,583.8,-138.84,O=N(C1(=CC=CC=C1CN2(C=CC=C2(C=O))))=O,0.513,0.943
1.6,5027,10.4,2254.9,609.0,-788.47,O1(C(CO)C(C(O)C1N3(C=2(C(=CC(N(=O)=O)=CC=2)C=C3)))O),0.322,0.839
1.68,7236,22.3,3809.9,839.4,431.08,N=1(N(C(=C(N=1)N)C=2(N(N)C(N)=NC=2N))N(=O)=O),0.489,1.0
1.6,6903,19.6,2938.8,1017.3,452.97,N=2(N=C(C=1(NC(NN=1)N))NN=2),0.749,0.898
1.65,8083,27.5,7595.5,669.2,716.55,N=1(ON=C(C=1N(=O)=O)[N+]2(NC=CN2)),0.539,1.0
1.77,8159,29.2,5864.0,648.1,422.29,N=1(N(C(=NC=1)C=2(N(N(=O)=O)C(N(=O)=O)=NC=2N))N(=O)=O),0.457,1.0
1.86,8777,34.9,6422.6,644.6,499.63,N1(=NC(=C(N1N)N(=O)=O)C2(=C(N=C(N2N(=O)=O)N(=O)=O)N(=O)=O)),0.417,1.0
1.77,8599,32.4,6705.4,713.1,639.18,N=1(ON=C(C=1N(=O)=O)NC(C(N)=NNN)N(=O)=O),0.411,0.91
1.75,8093,28.6,5839.9,648.1,415.43,N1(N(=O)=O)(N=C(N=C1)C2(=C(C(=NN2N(=O)=O)N)N(=O)=O)),0.457,1.0
